(0,0,0,0)
(46517,48573,54998,7967)
(46774,49344,54227,47802)
(47031,49087,53199,8224)
(47031,49344,53970,48573)
(47031,49344,54227,48059)
(47031,49344,54227,63993)
(47031,49344,54227,65535)
(47031,49601,54484,48316)
(49344,51914,56026,49087)
(49858,51657,55512,49344)
(49858,51914,56026,49087)
(52942,54998,59110,7967)
(52942,55255,58853,48573)
(53199,54998,59110,47802)
(53199,54998,59110,48059)
(53199,54998,59110,63993)
(53199,54998,59110,65535)
(53199,55255,59367,8224)
(53456,54998,59367,48316)
(53970,55255,58082,63736)
(53970,55512,58082,63993)
(54227,55512,58082,65535)
(57054,59110,61423,7967)
(57311,59367,61423,8224)
(58082,59110,61423,47802)
(58082,59110,61423,48059)
(58082,59367,61423,63993)
(58082,59367,61423,65535)
(58339,59367,61423,48316)
(58339,59367,61423,48573)
(58853,59624,61937,57568)
(58853,59881,61937,57568)
(60909,61680,62965,57568)
(61166,61937,62965,57568)
(64250,64507,64764,65535)
(64507,64764,64764,65535)
(65278,65278,65278,65535)
(65535,65535,65535,65535)
